Variable;ADF;p_valor;rezagos;N;critico_1%;critico_5%;critico_10%
d_atrasada;-13,254635621591834;8,637233865155972e-25;0;190;-3,4652439354133255;-2,8768752281673717;-2,574944653739612
d_spread;-4,068200597200872;0,0010926190724664686;7;183;-3,466598080268425;-2,8774669520682674;-2,5752604356654425
