,atrasada_neta_sistema,pbi,inflacion,tasa_activa,tasa_pasiva,spread,cartera_total
atrasada_neta_sistema,1.0,-0.1418203903474393,0.15553082045502636,-0.7785878852110032,0.011622931676021776,-0.8357021359124381,0.9225861076212115
pbi,-0.1418203903474393,1.0,-0.01993423804410904,0.06274394708132705,-0.22426999020846528,0.13278788345090428,-0.15949546240230617
inflacion,0.15553082045502636,-0.01993423804410904,1.0,-0.2192973354133139,0.2564888291773589,-0.30958141110178466,0.26495890188518956
tasa_activa,-0.7785878852110032,0.06274394708132705,-0.2192973354133139,1.0,0.3648767705130398,0.9620654977125801,-0.7973077407852397
tasa_pasiva,0.011622931676021776,-0.22426999020846528,0.2564888291773589,0.3648767705130398,1.0,0.09702602388134915,0.07876580659388784
spread,-0.8357021359124381,0.13278788345090428,-0.30958141110178466,0.9620654977125801,0.09702602388134915,1.0,-0.8753875719547044
cartera_total,0.9225861076212115,-0.15949546240230617,0.26495890188518956,-0.7973077407852397,0.07876580659388784,-0.8753875719547044,1.0
