Variable;N;Media;Desv. Est.;Mínimo;Máximo
Cartera atrasada neta por banco (%);2718;0,9511598580387468;4,303471808667184;-26,5065433613969;22,6973654237089
Cartera atrasada neta del sistema (%);192;1,390281635206449;2,2969131598362225;-1,3549918114452;4,57
PBI (var. % interanual);192;3,7343065252752807;7,8924271564964465;-39,276985716532;59,8947623291564
Inflación (var. % 12 meses);192;3,2407026298733244;1,8761835315737239;0,363136029353744;8,81263294388897
Tasa activa MN (%);192;15,717801319444446;2,353946297353142;10,4913;19,97548
Tasa pasiva MN (%);192;2,2833156111671147;0,6452446528554321;0,7632;3,963
Spread (p.p.);192;13,43448570827733;2,202044993054471;9,711;18,530899
Crédito total (millones S/);192;250112,0585174541;91177,82488758034;91470,2482158548;383542,1016983
