Variable;Coeficiente;Error_estandar;p_valor;R2;N
Intercept;0,08554707631638189;0,33990499842465777;0,8012889031338352;0,007041654201673686;191,0
pbi;-0,0017537528705776253;0,0007615634209576692;0,021288278488020628;;
inflacion;-0,007372575035215207;0,013249012251078674;0,5778949008524988;;
d_spread;0,05423100146090003;0,08387760992351843;0,5179237459900383;;
ln_cartera;-0,0025013406062090477;0,029839699305339137;0,9331948297878994;;
